zone_ids,assoc_name,mgmt_company,phone,email,portal_url,gate_policy,dock_rules_summary,outreach_suitability,confidence,sources
"N16;N15","Steiner Ranch Master Association, Inc.","On-site office (Alamo Management Group domain); sub-assoc SRROA managed by Goodwin & Company","512-266-7553 (master); 855-289-6007 (Goodwin)","steiner@alamomg.com; ASTRRmanager@goodwintx.com","https://steinerranchhoa.org/ ; http://astrr.sites.townsq.io/0","Master-planned with gated sub-sections; Lake Club on Lake Austin is access-controlled residents-only","Architectural Committee approval required before any exterior modification; HOA maintains Lake Club boat ramp/day docks; City of Austin dock registration + LCRA HLDO apply","B2B-OK","HIGH","https://steinerranchhoa.org/contact/ ; http://astrr.sites.townsq.io/0 ; https://www.texasally.com/neighborhoods/travis/austin/hoas/steiner-ranch-residential-owners-association-inc (accessed 2026-07-27)"
"N15","Caslano on Lake Austin (gated section of Steiner Ranch)","NOT FOUND as standalone association — route via Steiner Ranch Master Association","NOT FOUND","NOT FOUND","https://steinerranchhoa.org/","Gated entry off Quinlan Park Rd; resident authorization required","Covered by Steiner Ranch architectural rules + City/LCRA dock rules","B2B-OK via Steiner Ranch HOA","LOW","https://steinerranchhoa.org/ ; https://www.atxhomes.co/caslano-homes/ (accessed 2026-07-27)"
"N12","Riverplace Residential Community Association, Inc.","Legacy Southwest Property Management","214-705-1615 x119 (Sondra Franey); x123 ACC (Brittany Semrau); x117 compliance","sondra@legacyswhoa.com; brittany@legacyswhoa.com; chase@legacyswhoa.com","https://riverplacetxhoa.com/contact-us.aspx","Gated and guarded 24/7; vendor/resident call-ahead required","ACC requests via Legacy Southwest; City of Austin/LCRA dock rules overlay","B2B-OK","HIGH","https://riverplacetxhoa.com/contact-us.aspx ; https://communityimpact.com/austin/lake-travis-westlake/housing-real-estate/2021/04/12/featured-neighborhood-austins-river-place-community/ (accessed 2026-07-27)"
"N12","River Place Estates HOA (sub-association)","Goodwin & Company","512-502-7525 (Tim Favorite); 855-289-6007 accounting","info@goodwintx.com","https://arpe.sites.townsq.io/","Gated sections; resident authorization","HOA rules + City/LCRA dock rules","B2B-OK","HIGH","https://arpe.sites.townsq.io/ (accessed 2026-07-27)"
"N12","River Place Limited District (public district, not HOA)","Inframark","512-246-0498","csaus@inframark.com","https://www.riverplacelimiteddistrict.org/about","Controls trails/parks not gates","N/A — parks/trails jurisdiction","B2B-OK (public district)","HIGH","https://www.riverplacelimiteddistrict.org/about (accessed 2026-07-27)"
"N8","Greenshores on Lake Austin Property Owners Association","NOT FOUND (sub-assoc Woods of Greenshores POA linked to Alliance Association Management — unverified)","NOT FOUND","NOT FOUND","NOT FOUND","The Landing and Woods sections gated (remote access)","HOA maintains residents-only community dock and waterfront park; deed restrictions incl. tree preservation vary by lot","CAUTION until mgmt verified; Alliance AM B2B-OK for Woods section","MEDIUM/LOW","https://www.searchaustinhomes.com/neighborhood/northwest-austin/greenshores-on-lake-austin/ ; https://comparehoamanagers.com/texas/companies/alliance-association-management/ ; https://munozaustin.com/blogs/woods-of-greenshores-austin-tx-78730/ (accessed 2026-07-27)"
"N5","Mount Bonnell Shores/Colorado Crossing Homeowners Association, Inc.","Self-managed (volunteer 5-person board); PO Box 27144, Austin, TX 78755","NOT FOUND","NOT FOUND","https://www.eneighbors.com/p/coloradocrossing","Lakeside park gate code; sharing code prohibited; guests must be accompanied","5-acre private lakeside park on Lake Austin; common-area tree/vegetation cutting by non-committee prohibited","CAUTION (volunteer board — website contact only)","MEDIUM","https://www.eneighbors.com/!h_119461352/public-document/157110071162 (accessed 2026-07-27)"
"N5","The Island at Mount Bonnell Shores","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","Gated enclave (~30 waterfront homes); resident authorization","Unknown; City/LCRA dock rules apply","No channel identified","LOW","https://www.cainrealtygroup.com/austin/island-at-mount-bonnell-shores/ (accessed 2026-07-27)"
"N4","Watersedge HOA","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","Private gated waterfront community; resident authorization","Homes have dock slips; City/LCRA dock rules apply","No channel identified; try Travis County management certificate records","LOW","https://www.searchaustinhomes.com/neighborhood/central-austin/watersedge/ ; https://www.mapsofaustin.com/watersedge/ (accessed 2026-07-27)"
"N6","Courtyard Homeowners Association","Goodwin & Company","512-502-7518 (Alice English); 512-502-7500","alice.english@goodwintx.com","https://www.courtyardhoa.org/ ; https://acou.sites.townsq.io/","Gated with rotating gate code","Environmental Control Committee (ECC) approval required before any landscape/exterior change; kayak launch to Lake Austin","B2B-OK (Goodwin); board member personal emails published = CAUTION do-not-cold-call","HIGH","https://www.courtyardhoa.org/ ; https://www.courtyardhoa.org/new-neighbors/new-neighbors-page-1/ (accessed 2026-07-27)"
