zone_id,name,shore,tier,value,density,access,workops,composite,matched_customers,access_note,priority_rank,priority_score_x_customers
s04-westlake-lake-austin-marina,Westlake Dr corridor / Lake Austin Marina,S,A,100,55,91.6,80,83.7,55,ramp: Walsh Boat Landing 0.6 km (2nd Loop 360 Boat Ramp (Pennybacker) 5.25 km),1,4603.5
n01-tarrytown-lake-austin-blvd,Tarrytown–Lake Austin Blvd corridor,N,A,100,55,95.52,45,79.4,9,ramp: Walsh Boat Landing 0.32 km (2nd Loop 360 Boat Ramp (Pennybacker) 5.57 km),2,714.6
s02-laguna-loma,Laguna Loma,S,A,100,55,93.28,45,78.8,36,ramp: Walsh Boat Landing 0.48 km (2nd Loop 360 Boat Ramp (Pennybacker) 5.54 km),3,2836.7999999999997
s08-austin-country-club,Austin Country Club environs,S,A,100,55,91.46000000000001,45,78.4,1,ramp: Loop 360 Boat Ramp (Pennybacker) 0.61 km (2nd Emma Long Metropolitan Park 4.58 km),4,78.4
s03-oyster-landing-hula-hut,Oyster Landing / Hula Hut–Mozart's basin,S,B,60,90,90.08,80,78.0,14,ramp: Walsh Boat Landing 0.28 km (2nd Loop 360 Boat Ramp (Pennybacker) 6.11 km); canal/basin work — entrance width limits barge size,5,1092.0
s06-rockcliff-estates,Rockcliff Rd estates,S,A,100,55,84.88,45,76.7,25,ramp: Loop 360 Boat Ramp (Pennybacker) 1.08 km (2nd Walsh Boat Landing 4.84 km),6,1917.5
n09-ski-shores-pearce-manana,Ski Shores / Pearce / Manana strip,N,A,100,55,76.76,45,74.7,40,ramp: Emma Long Metropolitan Park 1.66 km (2nd Loop 360 Boat Ramp (Pennybacker) 3.29 km),7,2988.0
s11-river-hills-weston,River Hills Rd / Weston Ln,S,A,100,55,75.36,45,74.3,3,ramp: Emma Long Metropolitan Park 1.76 km (2nd Commons Ford Ranch Metropolitan Park 1.93 km),8,222.89999999999998
s07-davenport-ranch,Davenport Ranch,S,A,100,55,66.25999999999999,45,72.1,13,ramp: Loop 360 Boat Ramp (Pennybacker) 2.41 km (2nd Emma Long Metropolitan Park 3.49 km),9,937.3
s10-rivercrest,Rivercrest,S,A,100,55,66.25999999999999,45,72.1,50,ramp: Emma Long Metropolitan Park 2.41 km (2nd Loop 360 Boat Ramp (Pennybacker) 2.51 km),9,3604.9999999999995
s19-apache-shores,Apache Shores (incl. Lake Apache / Indian Creek),S,B,60,90,64.88,80,71.7,7,ramp: Jessica Hollis Park 2.08 km (2nd Mansfield Dam Park ramp 2.61 km); canal/basin work — entrance width limits barge size,11,501.90000000000003
n16-steiner-bellagio-lake-club,Steiner Ranch waterfront — Bellagio / Lake Club,N,A,100,55,62.48,45,71.1,7,ramp: Jessica Hollis Park 2.68 km (2nd Mansfield Dam Park ramp 3.15 km),12,497.69999999999993
n05-the-island-canal-grid,The Island at Mount Bonnell Shores — CANAL GRID,N,A,100,60,35.36,80,70.8,29,ramp: Loop 360 Boat Ramp (Pennybacker) 2.76 km (2nd Walsh Boat Landing 3.74 km); gated — coordinate entry with mgmt/HOA; canal/basin work — entrance width limits barge size,13,2053.2
n03-mount-bonnell-shores,Mount Bonnell shores / Dry Creek mouth,N,A,100,55,60.1,45,70.5,43,ramp: Walsh Boat Landing 2.85 km (2nd Loop 360 Boat Ramp (Pennybacker) 3.72 km),14,3031.5
s13-rob-roy-on-the-lake,Rob Roy on the Lake,S,A,100,40,63.06,45,67.5,0,ramp: Emma Long Metropolitan Park 1.21 km (2nd Commons Ford Ranch Metropolitan Park 1.76 km); gated — coordinate entry with mgmt/HOA,15,0.0
n15-caslano,Caslano on Lake Austin (Steiner Ranch),N,A,100,40,62.78,45,67.4,6,ramp: Mary Quinlan Park 1.23 km (2nd Jessica Hollis Park 6.04 km); gated — coordinate entry with mgmt/HOA,16,404.40000000000003
s16-austin-lake-hills,Austin Lake Hills,S,B,60,70,88.24,45,67.3,0,ramp: Commons Ford Ranch Metropolitan Park 0.84 km (2nd Emma Long Metropolitan Park 2.42 km),17,0.0
s12-cypress-banks,Cypress Banks,S,B,60,70,87.96000000000001,45,67.2,5,ramp: Emma Long Metropolitan Park 0.86 km (2nd Commons Ford Ranch Metropolitan Park 1.17 km),18,336.0
